make,model,price,city,state,year,mileage,transmission,color,previous_ownership,url
Lexus,LX,28000000.0,Mombasa,Ganjoni,2023.0,,Automatic,Black,Foreign Used,https://jiji.co.ke/ganjoni/cars/lexus-lx-2023-black-rRwNJdGu7qmKCaeb57eDZorE.html?page=10&pos=10&cur_pos=10&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=189
Lexus,LX,28000000.0,Mombasa,Mombasa CBD,2023.0,30000.0,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-white-Cp3qgYmVncYJnPNceFOBBhl8.html?page=10&pos=13&cur_pos=13&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=192
Lexus,LX,27999999.0,Mombasa,Mombasa CBD,2023.0,,Automatic,Off white,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2023-off-white-iyUUuNgEGGJV19ZxoXwjcScJ.html?page=10&pos=16&cur_pos=16&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=195
Lexus,LX,27500000.0,Mombasa,Mombasa CBD,2021.0,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2021-black-8aN8KlIIvzc9BWRknEMiQW23.html?page=10&pos=19&cur_pos=19&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=198
Mercedes-Benz,G-Class,27000000.0,Mombasa,Mombasa CBD,2019.0,45236.0,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-g-class-base-g-550-awd-2019-blue-grLgwerfvcMbjIJAJXxaXDol.html?page=11&pos=2&cur_pos=2&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=201
Lexus,LX,27000000.0,Mombasa,Tudor,2021.0,13258.0,Automatic,White,Foreign Used,https://jiji.co.ke/tudor/cars/lexus-lx-2021-white-B4yf4oZdo4b9jygO0huzcZy8.html?page=11&pos=5&cur_pos=5&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=204
Lexus,GX,26999900.0,Nairobi,Nairobi Central,2024.0,,Automatic,Blue,Brand New,https://jiji.co.ke/nairobi-central/cars/new-lexus-gx-2024-blue-prDp9cBiIBhQuFGUliHXDReh.html?page=11&pos=8&cur_pos=8&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=207
Honda,Vezel,26800000.0,Nairobi,Ridgeways,2018.0,130000.0,Automatic,Purple,Foreign Used,https://jiji.co.ke/ridgeways/cars/honda-vezel-2018-purple-pOD2EN7McR0dkrFAyWyvzeMl.html?page=11&pos=11&cur_pos=11&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=210
Lexus,GX,26500000.0,Nairobi,Kilimani,2024.0,21.0,CVT,Blue,Foreign Used,https://jiji.co.ke/kilimani/cars/lexus-gx-2024-blue-5B0ahOFyeFbsJTAr18qfAN6p.html?page=11&pos=14&cur_pos=14&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=213
Lexus,GX,26000000.0,Nairobi,Parklands/Highridge,2024.0,,Automatic,,Brand New,https://jiji.co.ke/parklands-highridge/cars/new-lexus-gx-550-overtrail-2024-white-lmTm6duMu8CuzvEsgzkjFLkG.html?page=11&pos=17&cur_pos=17&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=216
Lexus,LX,25999999.0,Nairobi,Kilimani,2022.0,10000.0,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/lexus-lx-2022-black-jHKOHSj1JhoE1E2xpOTAjVKm.html?page=11&pos=20&cur_pos=20&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=219
Lexus,LX,25999999.0,Nairobi,Kilimani,2022.0,7000.0,Automatic,White,Foreign Used,https://jiji.co.ke/kilimani/cars/lexus-lx-2022-white-zuqiyontFei6LE3fKaALEIX3.html?page=12&pos=3&cur_pos=3&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=222
Toyota,Land Cruiser,25500000.0,Nairobi,Westlands,2022.0,,Automatic,,Foreign Used,https://jiji.co.ke/westlands/cars/toyota-land-cruiser-3-3-diesel-4wd-2022-black-wPr9I0b2CczflE1JnXBBXQRZ.html?page=12&pos=6&cur_pos=6&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=225
Toyota,Land Cruiser,25000000.0,Mombasa,Mombasa CBD,2016.0,,Automatic,Pearl,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-land-cruiser-2016-pearl-ruGQSx054QFNs9fW9A8kRIUM.html?page=12&pos=9&cur_pos=9&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=228
Toyota,Land Cruiser,25000000.0,Nairobi,Lavington,2024.0,,Automatic,Black,Brand New,https://jiji.co.ke/lavington/cars/new-toyota-land-cruiser-2024-black-cGa1tAs6ImcVZ2pFjpSPsgRh.html?page=12&pos=11&cur_pos=11&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=230
Toyota,Land Cruiser,25000000.0,Nairobi,2 hours ago,2023.0,,Automatic,Black,Brand New,https://jiji.co.ke/nairobi/cars/new-toyota-land-cruiser-2023-black-oAzdbqb4RF44UovUUsZlWG2a.html?page=12&pos=14&cur_pos=14&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=233
